"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
 Urdu , -   , 85 , -   , 40 , 75 , 135 , 110 , 15 , 70 , 20 , 10 , 85 , 20 , 105 , 10 , 10 , -   , 35 , 475 , 110 , 55 , 10 ," 1,470 "," 11,195 "
 Malayalam , -   , 20 , -   , -   , -   , -   , 35 , -   , -   , 15 , -   , -   , -   , 45 , -   , -   , -   , -   , 25 , 15 , 25 , -   , 185 , 905 
 Tamil , 20 , -   , -   , 10 , 35 , 40 , 435 , -   , 30 , 10 , 110 , 160 , 15 , 170 , 75 , -   , -   , -   , 490 , 55 , 30 , -   ," 1,685 "," 3,920 "
 Telugu , -   , 30 , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , -   , -   , 75 , 425 
 Japanese , 300 ," 1,150 ", 350 , 675 , 405 , 280 , 475 , 305 , 525 , 635 , 385 , 315 , 260 , 670 , 275 , 115 , 210 , 90 , 290 , 170 ," 2,640 ", 355 ," 10,875 "," 24,785 "
 Korean , 700 ," 1,550 ", 335 , 235 , 160 , 65 , 300 , 300 , 675 , 415 , 330 , 105 , 290 , 405 , 140 , 100 , 125 , 10 , 85 , 90 ," 1,795 ", 220 ," 8,390 "," 43,735 "
 Cantonese ," 2,025 "," 2,710 "," 1,390 "," 1,070 "," 2,275 "," 7,795 "," 9,270 "," 1,460 "," 5,920 ", 980 ," 3,880 "," 1,200 "," 2,750 "," 12,095 "," 2,135 ", 820 , 715 ," 2,845 "," 4,625 "," 7,840 ", 915 , 435 ," 75,100 "," 150,590 "
" Chinese, n.o.s. "," 2,105 "," 2,495 "," 1,185 ", 815 ," 1,725 "," 5,415 "," 5,795 "," 1,670 "," 3,835 ", 600 ," 3,470 "," 1,045 "," 2,435 "," 8,515 "," 2,015 ", 790 , 470 ," 1,590 "," 2,930 "," 5,935 ", 865 , 380 ," 56,050 "," 121,955 "
 Mandarin ," 2,405 "," 2,045 "," 1,635 "," 1,165 ", 645 ," 2,360 "," 2,795 "," 2,315 "," 2,960 ", 855 ," 4,300 ", 565 ," 2,790 "," 4,415 "," 1,350 ", 845 , 535 , 885 ," 1,250 "," 2,870 "," 1,205 ", 665 ," 40,795 "," 114,480 "
 Taiwanese , 155 , 185 , 300 , 70 , -   , 40 , -   , 180 , 125 , 65 , 245 , 15 , 435 , 40 , 155 , 125 , 120 , -   , 80 , 75 , 85 , 125 ," 2,635 "," 8,640 "
 Lao , -   , 20 , -   , -   , 10 , -   , 55 , -   , 15 , -   , -   , -   , -   , 25 , -   , -   , -   , 20 , 40 , -   , 30 , -   , 245 , 865 
 Khmer (Cambodian) , -   , 10 , -   , 15 , 25 , 35 , 240 , -   , -   , 10 , -   , 90 , -   , 80 , 20 , -   , -   , 20 , -   , 25 , -   , -   , 575 ," 1,330 "
 Vietnamese , 20 , 195 , 25 , 50 , 825 ," 1,695 "," 3,055 ", 30 , 615 , 35 , 60 , 855 , 25 ," 2,560 ", 430 , 25 , 35 , 755 ," 1,320 ", 955 , 105 , 30 ," 13,705 "," 26,335 "
 Bisayan languages , -   , 30 , 30 , 20 , 100 , 75 , 125 , -   , 30 , 10 , 35 , 75 , 10 , 165 , 40 , -   , -   , 10 , 65 , 60 , 15 , -   , 885 ," 2,665 "
 Ilocano , -   , 10 , -   , 10 , -   , 105 , 360 , -   , 50 , -   , 85 , 135 , 10 , 265 , 145 , -   , 10 , -   , 125 , 35 , -   , -   ," 1,365 "," 2,955 "
 Malay , 125 , 210 , 45 , 60 , 40 , 70 , 70 , 15 , 140 , 25 , 60 , 30 , 50 , 270 , 30 , 95 , 15 , -   , 75 , 135 , 135 , 50 ," 1,755 "," 5,700 "
" Tagalog (Pilipino, Filipino) ", 50 , 625 , 150 , 330 , 775 ," 1,225 "," 4,030 ", 150 , 990 , 230 ," 1,215 "," 2,060 ", 195 ," 4,295 "," 1,630 ", 180 , 80 , 55 ," 3,080 "," 1,560 ", 745 , 70 ," 23,730 "," 65,190 "
 Akan (Twi) , -   , 10 , -   , -   , 15 , -   , 15 , -   , 20 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , 85 , 510 
 Swahili , -   , 40 , -   , 20 , 30 , -   , -   , 20 , 50 , 15 , 90 , 10 , -   , 40 , -   , 10 , -   , -   , 25 , -   , 80 , -   , 430 ," 2,795 "
 Creoles , -   , 25 , -   , 30 , 10 , -   , 35 , 10 , 10 , 15 , 20 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , -   , 195 , 760 
 Other languages , 170 , 630 , 195 , 285 , 355 , 315 , 655 , 95 , 390 , 410 , 375 , 345 , 105 , 900 , 265 , 80 , 75 , 225 , 400 , 210 , 615 , 180 ," 7,230 "," 26,465 "
 Total - Mobility status 1 year ago ," 15,725 "," 42,115 "," 21,055 "," 28,210 "," 27,740 "," 32,745 "," 43,780 "," 14,500 "," 26,545 "," 39,980 "," 23,065 "," 23,000 "," 12,445 "," 48,185 "," 21,370 "," 8,665 "," 6,715 "," 11,190 "," 34,830 "," 28,590 "," 43,985 "," 12,855 "," 565,960 "," 2,076,590 "
   Non-movers ," 12,705 "," 28,515 "," 18,625 "," 21,775 "," 21,965 "," 28,390 "," 37,210 "," 11,735 "," 23,050 "," 30,470 "," 18,685 "," 17,340 "," 10,595 "," 40,445 "," 18,165 "," 7,415 "," 5,680 "," 9,275 "," 29,305 "," 24,415 "," 30,860 "," 10,790 "," 456,265 "," 1,724,425 "
   Movers ," 3,020 "," 13,605 "," 2,435 "," 6,435 "," 5,775 "," 4,355 "," 6,570 "," 2,760 "," 3,495 "," 9,515 "," 4,375 "," 5,655 "," 1,850 "," 7,740 "," 3,200 "," 1,245 "," 1,040 "," 1,915 "," 5,525 "," 4,175 "," 13,125 "," 2,065 "," 109,700 "," 352,160 "
     Non-migrants ," 1,775 "," 8,140 "," 1,335 "," 3,965 "," 3,935 "," 2,790 "," 4,625 "," 1,575 "," 2,160 "," 5,365 "," 2,375 "," 3,970 "," 1,195 "," 5,070 "," 2,160 ", 645 , 530 ," 1,265 "," 3,625 "," 2,975 "," 6,275 "," 1,110 "," 66,770 "," 191,935 "
     Migrants ," 1,245 "," 5,460 "," 1,095 "," 2,475 "," 1,840 "," 1,560 "," 1,940 "," 1,190 "," 1,335 "," 4,150 "," 2,000 "," 1,690 ", 655 ," 2,670 "," 1,045 ", 600 , 510 , 650 ," 1,895 "," 1,200 "," 6,850 ", 955 ," 42,930 "," 160,225 "
       Internal migrants , 490 ," 3,230 ", 650 ," 1,690 "," 1,430 "," 1,050 "," 1,095 ", 495 , 810 ," 2,700 "," 1,010 "," 1,165 ", 250 ," 1,485 ", 635 , 410 , 325 , 455 , 800 , 600 ," 3,175 ", 595 ," 24,470 "," 112,515 "
         Intraprovincial migrants , 340 ," 2,055 ", 315 , 970 , 980 , 820 , 780 , 330 , 615 ," 1,525 ", 670 , 705 , 195 ," 1,100 ", 370 , 305 , 210 , 300 , 605 , 435 ," 1,685 ", 365 ," 15,640 "," 90,480 "
         Interprovincial migrants , 150 ," 1,170 ", 330 , 715 , 450 , 230 , 310 , 160 , 190 ," 1,180 ", 335 , 460 , 50 , 385 , 260 , 105 , 105 , 155 , 195 , 160 ," 1,485 ", 230 ," 8,830 "," 22,030 "
       External migrants , 750 ," 2,230 ", 450 , 785 , 410 , 510 , 845 , 695 , 525 ," 1,450 ", 990 , 525 , 410 ," 1,185 ", 410 , 190 , 190 , 195 ," 1,095 ", 600 ," 3,675 ", 360 ," 18,460 "," 47,710 "
 Total - Mobility status 5 years ago ," 15,315 "," 41,065 "," 20,135 "," 27,570 "," 26,695 "," 31,350 "," 41,925 "," 14,035 "," 25,640 "," 38,765 "," 22,270 "," 22,305 "," 12,125 "," 46,255 "," 20,405 "," 8,395 "," 6,415 "," 10,965 "," 33,130 "," 27,575 "," 43,255 "," 12,355 "," 546,665 "," 1,992,495 "
   Non-movers ," 7,650 "," 10,725 "," 12,955 "," 10,945 "," 12,910 "," 19,270 "," 24,720 "," 7,340 "," 14,920 "," 16,230 "," 10,520 "," 9,040 "," 6,515 "," 26,280 "," 11,765 "," 5,195 "," 3,575 "," 5,720 "," 18,315 "," 16,115 "," 14,520 "," 7,670 "," 272,050 "," 1,043,415 "
   Movers ," 7,660 "," 30,340 "," 7,175 "," 16,625 "," 13,785 "," 12,075 "," 17,200 "," 6,700 "," 10,725 "," 22,535 "," 11,745 "," 13,270 "," 5,610 "," 19,970 "," 8,645 "," 3,205 "," 2,840 "," 5,250 "," 14,815 "," 11,460 "," 28,735 "," 4,685 "," 274,610 "," 949,080 "
     Non-migrants ," 3,735 "," 15,800 "," 3,990 "," 9,580 "," 8,100 "," 7,550 "," 11,330 "," 3,435 "," 6,410 "," 11,215 "," 6,020 "," 7,885 "," 3,025 "," 12,275 "," 5,355 "," 1,815 "," 1,545 "," 3,155 "," 9,495 "," 7,655 "," 12,035 "," 2,265 "," 153,475 "," 482,670 "
     Migrants ," 3,925 "," 14,545 "," 3,185 "," 7,045 "," 5,685 "," 4,525 "," 5,875 "," 3,265 "," 4,310 "," 11,320 "," 5,725 "," 5,380 "," 2,585 "," 7,700 "," 3,290 "," 1,385 "," 1,295 "," 2,090 "," 5,315 "," 3,805 "," 16,700 "," 2,420 "," 121,135 "," 466,410 "
       Internal migrants ," 1,165 "," 9,000 "," 1,630 "," 4,780 "," 3,955 "," 2,660 "," 2,790 "," 1,180 "," 2,130 "," 7,805 "," 2,420 "," 3,570 ", 870 ," 3,045 "," 1,750 ", 795 , 845 ," 1,215 "," 1,945 "," 1,355 "," 8,630 "," 1,470 "," 64,870 "," 300,720 "
         Intraprovincial migrants , 825 ," 5,730 "," 1,000 "," 2,780 "," 2,345 "," 2,025 "," 1,840 ", 835 ," 1,580 "," 4,210 "," 1,695 "," 2,140 ", 710 ," 2,345 "," 1,035 ", 480 , 570 , 740 ," 1,375 "," 1,005 "," 4,445 ", 830 ," 40,420 "," 240,045 "
         Interprovincial migrants , 340 ," 3,270 ", 635 ," 2,000 "," 1,615 ", 630 , 950 , 345 , 545 ," 3,595 ", 725 ," 1,430 ", 155 , 700 , 720 , 320 , 275 , 475 , 570 , 350 ," 4,180 ", 645 ," 24,445 "," 60,675 "
       External migrants ," 2,760 "," 5,540 "," 1,550 "," 2,260 "," 1,730 "," 1,870 "," 3,080 "," 2,080 "," 2,185 "," 3,515 "," 3,310 "," 1,810 "," 1,715 "," 4,650 "," 1,540 ", 590 , 445 , 880 ," 3,370 "," 2,445 "," 8,075 ", 945 ," 56,265 "," 165,685 "
 Total population by citizenship ," 15,835 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,620 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,540 "," 48,660 "," 21,640 "," 8,720 "," 6,830 "," 11,290 "," 35,305 "," 28,790 "," 44,320 "," 12,990 "," 571,600 "," 2,097,965 "
   Canadian citizens ," 12,855 "," 35,685 "," 19,370 "," 25,750 "," 25,340 "," 29,880 "," 39,195 "," 12,210 "," 23,410 "," 36,480 "," 19,070 "," 20,790 "," 10,655 "," 42,070 "," 19,525 "," 7,875 "," 6,225 "," 9,930 "," 29,410 "," 25,265 "," 35,260 "," 11,850 "," 497,005 "," 1,859,820 "
     Canadian citizens under age 18 ," 2,255 "," 2,985 "," 4,505 "," 2,195 "," 3,935 "," 6,130 "," 8,100 "," 2,380 "," 4,675 "," 4,245 "," 3,260 "," 2,695 "," 1,695 "," 8,555 "," 3,680 "," 1,555 "," 1,205 "," 1,260 "," 7,020 "," 4,990 "," 2,065 "," 2,355 "," 81,460 "," 390,480 "
     Canadian citizens age 18 and over ," 10,605 "," 32,705 "," 14,865 "," 23,550 "," 21,410 "," 23,750 "," 31,095 "," 9,835 "," 18,730 "," 32,235 "," 15,810 "," 18,095 "," 8,955 "," 33,510 "," 15,845 "," 6,320 "," 5,025 "," 8,675 "," 22,390 "," 20,275 "," 33,195 "," 9,495 "," 415,540 "," 1,469,335 "
   Not Canadian citizens ," 2,975 "," 6,890 "," 1,950 "," 2,740 "," 2,605 "," 3,125 "," 5,120 "," 2,410 "," 3,435 "," 3,905 "," 4,185 "," 2,510 "," 1,880 "," 6,590 "," 2,110 ", 845 , 600 ," 1,355 "," 5,895 "," 3,530 "," 9,060 "," 1,145 "," 74,595 "," 238,145 "
 Total population by immigrant status and place of birth ," 15,830 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,625 "," 26,840 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,660 "," 21,640 "," 8,720 "," 6,825 "," 11,285 "," 35,305 "," 28,790 "," 44,320 "," 12,990 "," 571,600 "," 2,097,965 "
   Non-immigrants ," 7,175 "," 23,090 "," 14,015 "," 18,910 "," 18,410 "," 15,630 "," 19,255 "," 7,650 "," 10,985 "," 28,265 "," 9,145 "," 14,370 "," 4,475 "," 17,655 "," 12,405 "," 5,145 "," 4,060 "," 5,805 "," 13,375 "," 10,540 "," 24,925 "," 8,565 "," 292,760 "," 1,227,495 "
     Born in province of residence ," 4,820 "," 11,755 "," 9,920 "," 10,100 "," 10,860 "," 12,085 "," 14,570 "," 5,380 "," 8,330 "," 15,360 "," 6,335 "," 8,050 "," 3,270 "," 14,610 "," 8,735 "," 3,395 "," 2,595 "," 3,080 "," 11,490 "," 8,580 "," 10,915 "," 5,390 "," 188,740 "," 858,815 "
     Born outside province of residence ," 2,355 "," 11,330 "," 4,100 "," 8,805 "," 7,555 "," 3,540 "," 4,685 "," 2,265 "," 2,655 "," 12,910 "," 2,805 "," 6,315 "," 1,205 "," 3,050 "," 3,665 "," 1,745 "," 1,460 "," 2,720 "," 1,890 "," 1,960 "," 14,005 "," 3,175 "," 104,025 "," 368,680 "
   Immigrants ," 8,265 "," 16,725 "," 6,960 "," 8,705 "," 8,980 "," 16,860 "," 24,310 "," 6,515 "," 15,345 "," 10,690 "," 13,610 "," 8,400 "," 7,715 "," 29,550 "," 8,825 "," 3,355 "," 2,595 "," 5,315 "," 21,415 "," 17,965 "," 14,940 "," 3,995 "," 260,760 "," 831,265 "
     United States of America , 280 , 605 , 575 , 640 , 500 , 200 , 455 , 210 , 270 ," 1,140 ", 250 , 305 , 170 , 185 , 310 , 190 , 170 , 115 , 215 , 215 , 855 , 440 ," 8,255 "," 24,780 "
     Central America , 45 , 310 , 75 , 170 , 295 , 250 , 385 , 30 , 280 , 205 , 180 , 135 , 50 , 435 , 135 , 20 , 15 , 60 , 325 , 380 , 400 , 35 ," 4,205 "," 12,300 "
     Caribbean and Bermuda , 15 , 160 , 50 , 130 , 55 , 50 , 70 , 20 , 65 , 195 , 40 , 110 , 10 , 80 , 45 , -   , -   , 30 , 70 , 45 , 180 , 35 ," 1,465 "," 6,105 "
     South America , 65 , 320 , 135 , 235 , 215 , 265 , 220 , 105 , 220 , 255 , 165 , 180 , 45 , 165 , 105 , 45 , 60 , 50 , 180 , 180 , 445 , 50 ," 3,695 "," 11,320 "
     Europe ," 1,420 "," 4,435 "," 1,800 "," 3,355 "," 2,465 "," 2,665 "," 2,645 "," 1,005 "," 2,135 "," 5,060 "," 1,745 "," 1,600 ", 670 ," 2,760 "," 1,260 ", 640 , 480 , 405 ," 1,445 "," 1,370 "," 6,155 "," 1,555 "," 47,020 "," 182,150 "
       Western Europe , 185 , 790 , 425 , 485 , 505 , 190 , 500 , 175 , 190 , 940 , 135 , 255 , 80 , 260 , 195 , 85 , 75 , 80 , 240 , 195 ," 1,225 ", 255 ," 7,465 "," 31,740 "
       Eastern Europe , 255 ," 1,240 ", 205 , 750 , 350 , 210 , 465 , 245 , 790 , 780 , 840 , 430 , 220 , 460 , 245 , 115 , 80 , 140 , 455 , 270 ," 1,865 ", 235 ," 10,645 "," 40,420 "
       Southern Europe , 425 ," 1,050 ", 240 , 630 , 920 ," 1,900 "," 1,100 ", 70 , 580 , 990 , 300 , 285 , 75 ," 1,690 ", 375 , 75 , 110 , 70 , 380 , 490 ," 1,110 ", 250 ," 13,120 "," 36,550 "
         Italy , 70 , 65 , 45 , 40 , 480 ," 1,545 ", 445 , 35 , 130 , 160 , 65 , 65 , 35 , 565 , 30 , 15 , 15 , 35 , 150 , 260 , 160 , 65 ," 4,485 "," 12,400 "
         Other Southern Europe , 350 , 985 , 200 , 585 , 435 , 360 , 655 , 30 , 455 , 830 , 235 , 225 , 45 ," 1,120 ", 345 , 60 , 90 , 35 , 230 , 230 , 950 , 190 ," 8,635 "," 24,150 "
       Northern Europe , 555 ," 1,345 ", 930 ," 1,485 ", 695 , 355 , 575 , 510 , 570 ," 2,350 ", 470 , 635 , 295 , 355 , 445 , 360 , 220 , 115 , 365 , 415 ," 1,960 ", 810 ," 15,795 "," 73,435 "
         United Kingdom , 465 ," 1,225 ", 845 ," 1,330 ", 610 , 310 , 485 , 475 , 460 ," 2,115 ", 400 , 530 , 270 , 290 , 380 , 350 , 195 , 105 , 320 , 350 ," 1,705 ", 705 ," 13,895 "," 63,940 "
         Other Northern Europe , 90 , 120 , 85 , 160 , 80 , 50 , 95 , 40 , 110 , 235 , 65 , 100 , 25 , 60 , 65 , 10 , 25 , 10 , 45 , 70 , 250 , 100 ," 1,895 "," 9,495 "
     Africa , 165 , 630 , 205 , 450 , 215 , 125 , 290 , 155 , 375 , 425 , 330 , 280 , 50 , 430 , 280 , 130 , 100 , 30 , 300 , 120 , 640 , 145 ," 5,885 "," 27,260 "
       Western Africa , -   , 10 , -   , -   , 20 , 30 , 30 , 15 , 55 , 10 , 10 , 25 , -   , 75 , -   , -   , -   , -   , 10 , -   , 20 , -   , 325 ," 1,690 "
       Eastern Africa , 55 , 275 , 45 , 220 , 135 , 60 , 155 , 65 , 245 , 145 , 140 , 115 , 10 , 220 , 115 , 55 , 30 , 15 , 200 , 85 , 255 , 20 ," 2,665 "," 13,725 "
       Northern Africa , 10 , 90 , 10 , 50 , 25 , 15 , 10 , 10 , 35 , 45 , 25 , 25 , 15 , 85 , -   , 10 , 25 , -   , 50 , 20 , 100 , 10 , 675 ," 3,075 "
       Central Africa , 10 , 20 , -   , -   , 15 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 75 , 480 
       Southern Africa , 90 , 245 , 155 , 175 , 20 , 20 , 80 , 60 , 35 , 230 , 155 , 115 , 35 , 55 , 155 , 65 , 45 , 20 , 35 , -   , 255 , 115 ," 2,145 "," 8,295 "
     Asia and the Middle East ," 6,210 "," 10,020 "," 3,995 "," 3,490 "," 5,145 "," 13,125 "," 19,595 "," 4,905 "," 11,760 "," 3,070 "," 10,810 "," 5,615 "," 6,660 "," 24,570 "," 6,425 "," 2,280 "," 1,695 "," 4,570 "," 18,220 "," 15,295 "," 5,985 "," 1,605 "," 184,930 "," 543,255 "
       West Central Asia and the Middle East , 90 ," 2,010 ", 230 , 325 , 140 , 175 , 170 , 125 , 400 , 420 , 245 , 460 , 160 , 280 , 240 , 100 , 155 , 35 , 435 , 240 ," 1,365 ", 235 ," 8,035 "," 36,895 "
       Eastern Asia ," 5,755 "," 6,160 "," 3,380 "," 2,445 "," 3,160 "," 9,225 "," 10,865 "," 4,395 "," 8,915 "," 1,920 "," 8,710 "," 1,835 "," 5,765 "," 15,205 "," 3,715 "," 1,790 "," 1,340 "," 3,645 "," 5,735 "," 10,740 "," 3,085 "," 1,140 "," 118,855 "," 296,100 "
"         China, People's Republic of "," 2,425 "," 2,495 ", 990 , 780 ," 2,320 "," 6,810 "," 8,315 "," 1,735 "," 4,845 ", 520 ," 4,575 "," 1,225 "," 2,655 "," 10,490 "," 2,060 ", 535 , 435 ," 3,300 "," 3,540 "," 6,725 ", 915 , 370 ," 68,045 "," 137,245 "
"         Hong Kong, Special Administrative Region "," 1,635 "," 1,520 ", 840 , 630 , 490 ," 1,980 "," 2,030 "," 1,065 "," 2,780 ", 520 ," 2,520 ", 325 ," 1,510 "," 3,625 ", 805 , 610 , 345 , 275 ," 1,725 "," 3,420 ", 550 , 165 ," 29,345 "," 75,775 "
         Other Eastern Asia ," 1,695 "," 2,135 "," 1,545 "," 1,035 ", 345 , 435 , 520 ," 1,595 "," 1,285 ", 880 ," 1,615 ", 285 ," 1,600 "," 1,090 ", 855 , 640 , 565 , 70 , 470 , 590 ," 1,620 ", 615 ," 21,455 "," 83,075 "
       Southeast Asia , 270 ," 1,525 ", 290 , 580 ," 1,750 "," 3,255 "," 7,060 ", 245 ," 1,920 ", 545 ," 1,510 "," 2,860 ", 520 ," 7,725 "," 2,150 ", 330 , 190 , 760 ," 4,275 "," 2,870 "," 1,210 ", 155 ," 41,960 "," 107,935 "
         Philippines , 45 , 695 , 105 , 330 , 740 ," 1,170 "," 3,790 ", 155 , 985 , 245 ," 1,215 "," 1,895 ", 255 ," 3,995 "," 1,580 ", 140 , 75 , 50 ," 2,855 "," 1,555 ", 685 , 60 ," 22,620 "," 62,960 "
         Other Southeast Asia , 220 , 825 , 185 , 250 ," 1,005 "," 2,085 "," 3,270 ", 90 , 930 , 300 , 305 , 965 , 270 ," 3,725 ", 565 , 195 , 120 , 710 ," 1,415 "," 1,315 ", 525 , 95 ," 19,345 "," 44,970 "
       Southern Asia , 90 , 325 , 95 , 140 , 100 , 475 ," 1,500 ", 135 , 525 , 185 , 340 , 450 , 205 ," 1,360 ", 320 , 55 , 15 , 125 ," 7,775 "," 1,450 ", 320 , 65 ," 16,070 "," 102,320 "
         India , 80 , 235 , 70 , 125 , 40 , 295 ," 1,040 ", 110 , 440 , 115 , 215 , 200 , 155 ," 1,120 ", 230 , 55 , -   , 40 ," 6,785 "," 1,305 ", 225 , 40 ," 12,920 "," 90,095 "
         Other Southern Asia , 15 , 90 , 25 , 10 , 65 , 175 , 460 , 30 , 85 , 65 , 125 , 250 , 50 , 245 , 90 , -   , 15 , 85 , 990 , 140 , 100 , 25 ," 3,150 "," 12,230 "
     Oceania and other , 65 , 250 , 120 , 225 , 85 , 175 , 645 , 80 , 230 , 340 , 80 , 175 , 50 , 920 , 260 , 40 , 70 , 55 , 665 , 360 , 285 , 130 ," 5,300 "," 24,090 "
   Non-permanent residents , 390 ," 2,765 ", 345 , 870 , 555 , 515 , 750 , 455 , 520 ," 1,425 ", 505 , 525 , 345 ," 1,450 ", 410 , 220 , 175 , 165 , 510 , 285 ," 4,460 ", 430 ," 18,080 "," 39,200 "
 Total recent immigrants by selected places of birth ," 2,380 "," 3,375 "," 1,015 "," 1,280 "," 1,335 "," 1,770 "," 3,195 "," 1,670 "," 2,155 "," 1,580 "," 3,175 "," 1,690 "," 1,465 "," 4,460 "," 1,165 ", 380 , 270 , 830 ," 3,955 "," 2,390 "," 3,675 ", 345 ," 43,470 "," 151,690 "
   United States of America , 55 , 165 , 80 , 115 , 75 , 25 , 80 , -   , 30 , 235 , 100 , 75 , 30 , 90 , 60 , 40 , 40 , 25 , 70 , 35 , 245 , 70 ," 1,730 "," 4,610 "
   Central America , 10 , 175 , 40 , 25 , 80 , 35 , 90 , 10 , 20 , 50 , 95 , 20 , 10 , 40 , 30 , -   , -   , 10 , 25 , 50 , 115 , 10 , 925 ," 2,460 "
   Caribbean and Bermuda , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , -   , -   , -   , -   , -   , -   , 10 , 25 , 50 , -   , 115 , 440 
   South America , -   , 90 , 20 , 100 , 45 , 65 , 15 , 30 , 65 , 105 , 30 , 95 , 10 , 40 , 15 , -   , -   , 25 , 60 , 40 , 170 , -   ," 1,040 "," 2,865 "
   Europe , 65 , 665 , 125 , 420 , 205 , 65 , 120 , 130 , 275 , 450 , 195 , 155 , 80 , 115 , 105 , 30 , -   , 10 , 35 , 60 ," 1,015 ", 85 ," 4,405 "," 14,980 "
     Western Europe , 30 , 120 , 80 , 60 , 75 , 25 , 35 , 10 , -   , 105 , 10 , 30 , 10 , 25 , -   , -   , -   , -   , 10 , -   , 160 , 35 , 825 ," 1,650 "
     Eastern Europe , -   , 240 , 10 , 100 , 40 , 15 , 20 , 45 , 170 , 90 , 160 , 60 , 65 , 40 , 40 , 20 , -   , -   , 20 , 15 , 475 , 10 ," 1,640 "," 7,525 "
     Southern Europe , 10 , 100 , -   , 90 , 45 , 15 , 20 , 10 , 60 , 45 , 15 , 30 , -   , 40 , -   , -   , -   , -   , -   , 15 , 185 , 25 , 715 ," 1,725 "
       Italy , -   , -   , -   , -   , 15 , -   , 10 , -   , -   , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 20 , 110 , 185 
       Other Southern Europe , 10 , 105 , -   , 90 , 25 , 20 , 10 , -   , 65 , 10 , 10 , 30 , 10 , 40 , -   , -   , -   , -   , 10 , -   , 180 , -   , 600 ," 1,540 "
     Northern Europe , 30 , 195 , 30 , 165 , 45 , -   , 45 , 65 , 40 , 215 , 15 , 40 , -   , 10 , 60 , 10 , -   , -   , -   , 30 , 195 , 25 ," 1,225 "," 4,085 "
       United Kingdom , 20 , 170 , 25 , 125 , 40 , 10 , 40 , 65 , 35 , 175 , 15 , 40 , -   , 10 , 60 , 10 , -   , -   , -   , 30 , 170 , 25 ," 1,075 "," 3,765 "
       Other Northern Europe , 10 , 25 , -   , 40 , -   , -   , -   , -   , 10 , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , 150 , 320 
   Africa , 20 , 75 , 10 , 25 , 40 , 10 , 65 , 35 , 45 , 40 , 130 , 65 , -   , 70 , 50 , -   , -   , 10 , 55 , 35 , 145 , -   , 905 ," 4,800 "
     Western Africa , -   , -   , -   , -   , 10 , -   , -   , 15 , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 20 , -   , 90 , 625 
     Eastern Africa , -   , 30 , -   , 10 , 20 , 10 , 45 , -   , -   , 15 , 70 , 25 , -   , 20 , 45 , -   , -   , -   , 15 , 40 , 20 , -   , 360 ," 2,000 "
     Northern Africa , -   , 20 , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , 15 , -   , 25 , 10 , -   , -   , -   , 25 , -   , 30 , -   , 150 , 905 
     Central Africa , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , 150 
     Southern Africa , 15 , 25 , -   , 10 , -   , -   , 15 , 20 , 25 , 25 , 45 , 25 , -   , 10 , -   , -   , -   , 10 , 10 , -   , 60 , -   , 295 ," 1,110 "
   Asia and the Middle East ," 2,235 "," 2,130 ", 735 , 550 , 865 ," 1,540 "," 2,810 "," 1,445 "," 1,715 ", 595 ," 2,630 "," 1,215 "," 1,320 "," 4,070 ", 870 , 310 , 180 , 755 ," 3,665 "," 2,125 "," 1,865 ", 180 ," 33,730 "," 118,550 "
